"cohort","mean","kin"
1915,1.18534798534798,"grandchildren"
1916,1.88536585365854,"grandchildren"
1917,1.87282780410742,"grandchildren"
1918,1.93562734082397,"grandchildren"
1919,1.92767332642227,"grandchildren"
1920,1.87314026694928,"grandchildren"
1921,1.79760093734311,"grandchildren"
1922,1.80797962078232,"grandchildren"
1923,1.82355082014503,"grandchildren"
1924,1.84359464833064,"grandchildren"
1925,1.84256639416983,"grandchildren"
1926,1.86098175324357,"grandchildren"
1927,1.91812773127354,"grandchildren"
1928,1.90884914080425,"grandchildren"
1929,1.90801592121633,"grandchildren"
1930,1.9276193213114,"grandchildren"
1931,1.91064885173928,"grandchildren"
1932,1.93263235713296,"grandchildren"
1933,1.91607670633936,"grandchildren"
1934,1.90407797724259,"grandchildren"
1935,1.88305658160434,"grandchildren"
1936,1.8775615158749,"grandchildren"
1937,1.85561126358584,"grandchildren"
1938,1.81851667263977,"grandchildren"
1939,1.79033124126263,"grandchildren"
1940,1.75745454406813,"grandchildren"
1941,1.73147891722298,"grandchildren"
1942,1.69805302154184,"grandchildren"
1943,1.65925499228164,"grandchildren"
1944,1.63048287285027,"grandchildren"
1945,1.59026218018615,"grandchildren"
1946,1.55963406084563,"grandchildren"
1947,1.51439409192663,"grandchildren"
1948,1.46843939177797,"grandchildren"
1949,1.41412020456467,"grandchildren"
1950,1.34232528541986,"grandchildren"
1951,1.26825904183272,"grandchildren"
1952,1.18071133477901,"grandchildren"
1953,1.1029675290608,"grandchildren"
1954,1.00841452361445,"grandchildren"
1955,0.917979024348396,"grandchildren"
1956,0.83219233970754,"grandchildren"
1957,0.744033756707715,"grandchildren"
1958,0.652399467782126,"grandchildren"
1959,0.567724695648332,"grandchildren"
1960,0.488770388331595,"grandchildren"
1961,0.415294802178833,"grandchildren"
1962,0.355786990871308,"grandchildren"
1963,0.29607552672254,"grandchildren"
1964,0.242145105293123,"grandchildren"
1965,0.196784903430217,"grandchildren"
1966,0.152299920774962,"grandchildren"
1967,0.120535582586106,"grandchildren"
1968,0.0891696608231543,"grandchildren"
1969,0.0663757750826134,"grandchildren"
1970,0.049281966956053,"grandchildren"
1971,0.0335703113623317,"grandchildren"
1972,0.021997902930581,"grandchildren"
1973,0.0139841587100636,"grandchildren"
1974,0.00866149663621958,"grandchildren"
1975,0.00547070515988401,"grandchildren"
1976,0.00400006630830516,"grandchildren"
1977,0.00247032420892441,"grandchildren"
1978,0.00146999244264074,"grandchildren"
1979,0.00116350295830992,"grandchildren"
1980,0.000661861253467218,"grandchildren"
1981,0.000313587176622309,"grandchildren"
1982,0.000190339940703051,"grandchildren"
1983,5.98905548300601e-05,"grandchildren"
1984,2.29138892255484e-05,"grandchildren"
1915,4.14505494505494,"children"
1916,3.81178861788618,"children"
1917,3.72551342812006,"children"
1918,3.88168806848582,"children"
1919,3.80530817076619,"children"
1920,3.72968652728782,"children"
1921,3.64449584812039,"children"
1922,3.7353320642978,"children"
1923,3.76521222309537,"children"
1924,3.82175808992564,"children"
1925,3.82037703979483,"children"
1926,3.83794117794142,"children"
1927,3.96307395775179,"children"
1928,3.94379205936078,"children"
1929,3.9714139565357,"children"
1930,4.02430274023061,"children"
1931,4.05198774545279,"children"
1932,4.07347439514967,"children"
1933,4.08042680392757,"children"
1934,4.0938747637802,"children"
1935,4.07588392310882,"children"
